St_Id,St_Fname,St_Lname,St_Address,St_Age,Dept_Id,St_super
9,Saly,Ahmed     ,Mansoura,24,30,
8,Mohamed,Fars      ,Alex,28,20,6
7,Ali,Hussien   ,Cairo,25,20,6
6,Heba,Farouk    ,Mansoura,25,20,
5,Khalid,Moahmed   ,Alex,24,10,1
3,Mona,Saleh     ,Cairo,22,10,1
29,Kareem,,,,,
28,Ali,,,,,
27,Tamer,,,,,
26,Kareem,,,,,
25,Nour,,,,,
24,Tamer,,,,,
23,ahmed,,,,,
22,Reem,,,,,
21,Ali,,,,,
20,Kamel,,,,,
2,Amr,Magdy     ,Cairo,21,10,1
19,Tamer,,,,,
18,Aya,,,,,
17,Ahmed,Abdo      ,,,,
16,Tamer,,,,,
15,Aly,,,,,
14,,Saleh     ,Tanta,30,,
13,Said,,,,40,12
12,Noha,Omar      ,Cairo,21,40,
11,Marwa,Ahmed     ,Cairo,24,30,9
10,Fady,Ali       ,Alex,24,30,9
1,Ahmed,Hassan    ,Cairo,20,10,
